Issue Name,Repository,Link,Effort (1-5),Dependencies,Assignees,Description,Priority,Start Date,End Date
"Refactor automation system","crowdstake.fun","https://github.com/BreadchainCoop/crowdstake.fun/issues/73",4,"","","Generic provider payment management system",High,2025-10-01,2025-10-14
"Release 0.0.2","crowdstake.fun","https://github.com/BreadchainCoop/crowdstake.fun/issues/72",2,"#73,#65,#64","","Version 0.0.2 release preparation",Medium,2025-11-15,2025-11-22
"Release 0.0.1","crowdstake.fun","https://github.com/BreadchainCoop/crowdstake.fun/issues/70",2,"#63,#42,#38","","Initial release preparation",High,2025-10-15,2025-10-22
"E2E Testing","crowdstake.fun","https://github.com/BreadchainCoop/crowdstake.fun/issues/65",4,"","","End-to-end testing with decentralized frontend",High,2025-10-08,2025-10-21
"Fuzz Testing","crowdstake.fun","https://github.com/BreadchainCoop/crowdstake.fun/issues/64",3,"","","Add fuzz testing to BreadKit Protocol",Medium,2025-10-01,2025-10-10
"Refactor Unit Tests","crowdstake.fun","https://github.com/BreadchainCoop/crowdstake.fun/issues/63",2,"","","Convert to Bulloak format and review",Medium,2025-10-01,2025-10-07
"Voting functions","crowdstake.fun","https://github.com/BreadchainCoop/crowdstake.fun/issues/62",3,"","","Add bytes parameter for downstream implementations",High,2025-10-15,2025-10-25
"TimeWeightedVotingPower","crowdstake.fun","https://github.com/BreadchainCoop/crowdstake.fun/issues/48",4,"#62","","Implement time-weighted voting power strategy",High,2025-10-25,2025-11-07
"Identifier emission","crowdstake.fun","https://github.com/BreadchainCoop/crowdstake.fun/issues/47",2,"","","Add identifier to DistributionStrategy",Low,2025-11-01,2025-11-07
"Gelato Automation","crowdstake.fun","https://github.com/BreadchainCoop/crowdstake.fun/issues/46",3,"","","Review and implement Gelato integration",Medium,2025-11-08,2025-11-18
"Optimize Queue Lookup","crowdstake.fun","https://github.com/BreadchainCoop/crowdstake.fun/issues/45",4,"","","Performance optimization for large queues",Medium,2025-11-01,2025-11-14
"Chainlink Automation","crowdstake.fun","https://github.com/BreadchainCoop/crowdstake.fun/issues/44",3,"#46","","Support automation payment from yield",Medium,2025-11-18,2025-11-28
"Store required votes","crowdstake.fun","https://github.com/BreadchainCoop/crowdstake.fun/issues/43",2,"","","Cache votes at proposal creation",Low,2025-12-01,2025-12-07
"Refactor QueueProcessed","crowdstake.fun","https://github.com/BreadchainCoop/crowdstake.fun/issues/42",1,"","","Event refactoring for Recipient Registry",Low,2025-12-08,2025-12-10
"Validate yield amount","crowdstake.fun","https://github.com/BreadchainCoop/crowdstake.fun/issues/38",2,"","","Validate against recipients and divisibility",High,2025-10-01,2025-10-07
"Factory Pattern refactor","crowdstake.fun","https://github.com/BreadchainCoop/crowdstake.fun/issues/36",5,"#73","","Refactor modules to Factory Pattern",Low,2025-12-01,2025-12-21
"NFT awarding module","crowdstake.fun","https://github.com/BreadchainCoop/crowdstake.fun/issues/24",3,"","","Generic NFT module for token holders",Low,2025-12-15,2025-12-25
"Distribution Module","crowdstake.fun","https://github.com/BreadchainCoop/crowdstake.fun/issues/10",4,"#9","","Core distribution module implementation",Critical,2025-10-01,2025-10-14
"Distribution Strategy","crowdstake.fun","https://github.com/BreadchainCoop/crowdstake.fun/issues/9",4,"","","Strategy module implementation",Critical,2025-10-01,2025-10-14
"Voting Module","crowdstake.fun","https://github.com/BreadchainCoop/crowdstake.fun/issues/2",5,"#62,#48","","Signature-based voting with multiple strategies",Critical,2025-10-08,2025-10-28
"Rename repository","breadchain","https://github.com/BreadchainCoop/breadchain/issues/173",1,"","","Repository naming update",Low,2025-12-20,2025-12-21
"Test Upgrade Simulation","breadchain","https://github.com/BreadchainCoop/breadchain/issues/172",3,"","","Upgrade simulation testing for latest release",High,2025-10-15,2025-10-25
"Release v1.0.5","breadchain","https://github.com/BreadchainCoop/breadchain/issues/171",2,"#172","","Version 1.0.5 release preparation",Medium,2025-11-22,2025-11-29
"Voting Boost - Transactions","breadchain","https://github.com/BreadchainCoop/breadchain/issues/170",3,"","","Boost for users with BREAD transactions",Low,2025-12-01,2025-12-10
"Boost - Never Burning","breadchain","https://github.com/BreadchainCoop/breadchain/issues/169",2,"","","Reward for not burning BREAD",Low,2025-12-01,2025-12-07
"Boost - Baking Minimum","breadchain","https://github.com/BreadchainCoop/breadchain/issues/168",2,"","","Boost for baking at least 10 BREAD",Low,2025-12-08,2025-12-14
"POAP Boost","breadchain","https://github.com/BreadchainCoop/breadchain/issues/167",3,"","","Add boost for community call attendance",Low,2025-12-08,2025-12-17
"TBS NFT Boost","breadchain","https://github.com/BreadchainCoop/breadchain/issues/166",2,"","","Voting boost for NFT holders",Low,2025-12-15,2025-12-21
"Release v1.0.4","breadchain","https://github.com/BreadchainCoop/breadchain/issues/164",2,"#141,#142","","Version 1.0.4 release preparation",Medium,2025-10-28,2025-11-04
"Variable Delegations","breadchain","https://github.com/BreadchainCoop/breadchain/issues/156",4,"","","Explore VotesExtendedUpgradeable extensions",Low,2025-12-01,2025-12-14
"CI/CD Auto-deploy","breadchain","https://github.com/BreadchainCoop/breadchain/issues/142",3,"","","Automated testnet deployments on merge",High,2025-10-01,2025-10-10
"Upgrade Safety Check","breadchain","https://github.com/BreadchainCoop/breadchain/issues/141",3,"","","Automate upgrade safety in CI pipeline",High,2025-10-01,2025-10-10
"Gelato Automation","breadchain","https://github.com/BreadchainCoop/breadchain/issues/136",3,"#46","","Gelato automation integration",Medium,2025-11-08,2025-11-18
"Timelock for upgrades","breadchain","https://github.com/BreadchainCoop/breadchain/issues/132",4,"","","Add timelock mechanism for contract upgrades",High,2025-10-22,2025-11-04
"Update Foundry Template","breadchain","https://github.com/BreadchainCoop/breadchain/issues/122",2,"","","Modernize Foundry template structure",Low,2025-12-15,2025-12-21
"Namespaced storage","breadchain","https://github.com/BreadchainCoop/breadchain/issues/112",5,"","","Refactor to ERC-7201 storage patterns",Medium,2025-11-15,2025-12-05
"Documentation Scope","breadchain","https://github.com/BreadchainCoop/breadchain/issues/111",3,"","","Complete documentation overhaul",Medium,2025-12-01,2025-12-10
"Testing refactor","breadchain","https://github.com/BreadchainCoop/breadchain/issues/97",4,"","","Refactor test suite structure",Medium,2025-11-01,2025-11-14
"Coupling addresses","breadchain","https://github.com/BreadchainCoop/breadchain/issues/81",3,"","","Link project addresses and distributions",Low,2025-12-08,2025-12-17
"Fix deposit feature","saving-circles-frontend","https://github.com/BreadchainCoop/saving-circles-frontend/issues/1",4,"","","Fix deposit & enable reliable Circle details access",Critical,2025-10-01,2025-10-14
