Issue Name,Link,Effort (1-5),Dependencies,Assignees,Brief Description,Start Date,End Date
"Breaking account abstraction pattern for request creation","https://github.com/BreadchainCoop/breadfunds/issues/46",4,"Core development complete","","Fix account abstraction pattern by adding signature requirement for request creation to retain AA pattern","2025-11-15","2025-11-22"
"Enable Breadfund Creation Without Specifying All Users","https://github.com/BreadchainCoop/breadfunds/issues/42",3,"Repository rebranding complete","@exo404","Implement flexible fund creation allowing progressive onboarding via invite system or backend-driven approach","2025-10-15","2025-10-22"
"Give design team list of configurable variables","https://github.com/BreadchainCoop/breadfunds/issues/41",2,"Core development complete","","Provide comprehensive list of variables for design team including advanced view, default view, and hidden variables","2025-11-25","2025-11-27"
"First deposit permanently fixes daily cap","https://github.com/BreadchainCoop/breadfunds/issues/40",4,"Repository setup fixes","","Fix critical bug where first deposit sets permanent daily cap, ignoring larger subsequent deposits","2025-10-08","2025-10-15"
"No exact dues enforcement for deposits","https://github.com/BreadchainCoop/breadfunds/issues/39",3,"Deposit cap bug fix","@franrolotti","Implement protocol enforcement for exact dues per epoch rather than accepting any positive value","2025-10-15","2025-10-18"
"Executing large requests doesn't reduce member withdrawables","https://github.com/BreadchainCoop/breadfunds/issues/38",4,"Repository setup fixes","@franrolotti","Fix critical insolvency bug where executed withdrawals don't reduce member withdrawable balances","2025-10-08","2025-10-15"
"Research blanket withdrawal delay","https://github.com/BreadchainCoop/breadfunds/issues/33",3,"Risk management planning","","Research implementation of withdrawal delay mechanism to prevent liquidity scarcity events","2025-11-01","2025-11-08"
"Automated ERC20 Allowance-Based Deposits","https://github.com/BreadchainCoop/breadfunds/issues/32",4,"Core smart contract development","","Implement automated deposit functions leveraging ERC20 allowances for programmatic deposits and batch operations","2025-10-22","2025-10-29"
"Prime-based crediting system","https://github.com/BreadchainCoop/breadfunds/issues/31",4,"Risk ratio formula complete","","Implement actuarial entitlement system based on uniform prime calculation rather than deposit-linked crediting","2025-11-15","2025-11-22"
"Liquidity-aware epoch ratio","https://github.com/BreadchainCoop/breadfunds/issues/30",3,"Core development complete","","Implement per-epoch multiplier system that adjusts based on current surplus vs obligations","2025-11-08","2025-11-15"
"Develop Context-Aware Risk Ratio Formula","https://github.com/BreadchainCoop/breadfunds/issues/29",4,"Research phase complete","","Create principled approach for determining risk ratios based on use case, claims frequency, and actuarial models","2025-10-29","2025-11-05"
"V2 Proposals","https://github.com/BreadchainCoop/breadfunds/issues/28",3,"V1 production launch","","Document and plan V2 features including endogenous ratios and prime-based system for future development","2025-12-05","2025-12-15"
"Lock ratio to 1 (disable leverage)","https://github.com/BreadchainCoop/breadfunds/issues/25",2,"Input validation complete","","Implement safety restriction to lock ratio at exactly 1 for V1 launch, preventing leverage-related risks","2025-10-18","2025-10-20"
"Notification Options for Withdrawal Voting","https://github.com/BreadchainCoop/breadfunds/issues/24",3,"Frontend development complete","","Design and implement user notification system for withdrawal request outcomes while maintaining backendless architecture","2025-11-22","2025-11-29"
"Add input validation for unsafe ratio values","https://github.com/BreadchainCoop/breadfunds/issues/23",2,"Critical bug fixes complete","","Implement validation to ensure ratio parameter stays within safe bounds during initialization and updates","2025-10-15","2025-10-17"
"Liquidity-safe ratio research (leverage & solvency)","https://github.com/BreadchainCoop/breadfunds/issues/21",5,"Risk ratio formula development","","Comprehensive research on enabling ratio > 1 safely while mitigating liquidity and solvency risks","2025-11-05","2025-11-12"
"Add deposit on behalf of user","https://github.com/BreadchainCoop/breadfunds/issues/19",3,"Automated deposits complete","","Implement functionality allowing deposits on behalf of users using their ERC20 balance","2025-10-29","2025-11-01"
"Change Contestation Threshold Logic","https://github.com/BreadchainCoop/breadfunds/issues/14",3,"Core development phase","","Modify withdrawal contestation logic to improve decision-making process and member participation","2025-10-22","2025-10-25"
"Create comprehensive test suite","https://github.com/BreadchainCoop/breadfunds/issues/13",4,"Core contracts complete","","Implement full test coverage for all contract functionality including edge cases and security scenarios","2025-11-01","2025-11-08"
"Should struct include min/max members","https://github.com/BreadchainCoop/breadfunds/issues/12",2,"Core development phase","","Determine and implement member limit requirements for breadfund struct definition","2025-10-25","2025-10-27"
"Add view methods aggregating frontend data","https://github.com/BreadchainCoop/breadfunds/issues/11",2,"Core development complete","","Create view functions that aggregate all necessary data for frontend display and user interaction","2025-10-20","2025-10-22"
"Breadfunds Core Specification","https://github.com/BreadchainCoop/breadfunds/issues/9",3,"Requirements gathering","","Complete core specification document defining system architecture, user flows, and technical requirements","2025-10-01","2025-10-08"
"Bread Mutual Insurance fund spec V1.5","https://github.com/BreadchainCoop/breadfunds/issues/8",3,"Core spec complete","","Develop detailed specification for insurance fund functionality within breadfunds system","2025-10-08","2025-10-15"
"Sliding participation scale for users","https://github.com/BreadchainCoop/breadfunds/issues/4",3,"V2 planning phase","","Design and specify sliding scale mechanism for variable user participation levels","2025-12-08","2025-12-15"
"Design v1: Process Tracking for App","https://github.com/BreadchainCoop/breadfunds-app/issues/2",3,"Requirements gathering","@diterra-code","Create comprehensive design for process tracking functionality in breadfunds application","2025-10-01","2025-10-08"
"Design: List of Data Displayed to User","https://github.com/BreadchainCoop/breadfunds-app/issues/1",2,"Core specification complete","@diterra-code","Compile detailed list of all user-facing data points for upcoming designs","2025-10-08","2025-10-10"
"Repository Rebranding (BreadFunds → Safety Net)","-",2,"None","","Rebrand all 'BreadFunds' references to 'Safety Net' across both repositories and update documentation","2025-10-01","2025-10-03"
"Critical Code Review Findings - Repository Setup","-",2,"Repository rebranding","","Fix package names, version inconsistencies, React 19 issues, and dependency management problems","2025-10-03","2025-10-05"
"Security & Technical Debt Resolution","-",4,"Repository setup fixes","","Add Web3 integration, state management, error boundaries, CSP headers, input validation, and expand test coverage","2025-10-05","2025-10-12"
"Missing Infrastructure Implementation","-",3,"Technical debt resolution","","Implement bundle analysis, performance monitoring, CI/CD pipeline, multi-sig setup, and gas benchmarking","2025-10-12","2025-10-19"
"Smart Contract Security Audit","-",4,"All testing complete, contracts finalized","","Complete comprehensive security audit of smart contracts before mainnet deployment","2025-11-29","2025-12-06"
"Production Deployment","-",3,"Security audit passed","","Deploy smart contracts to mainnet and launch production frontend via decentralized infrastructure","2025-12-06","2025-12-13"
