Issue Name,Repository,Link,Effort (1-5),Dependencies,Assignees,Description,Start Date,End Date
"Core Distribution System Implementation","solidarity-fund","#SF-001",5,"Infrastructure Setup","","Implement complete distribution management system with voting integration","2025-01-06","2025-01-17"
"Voting Module Implementation","solidarity-fund","#SF-002",5,"Infrastructure Setup","","Complete voting system with signature support and time-weighted voting","2025-01-06","2025-01-17"
"CI/CD Infrastructure","solidarity-fund","#SF-003",3,"None","","Automated CI/CD pipeline with decentralized deployment","2025-01-02","2025-01-06"
"Security Hardening & Testing","solidarity-fund","#SF-004",4,"Core Distribution System","","Comprehensive security measures including reentrancy guards and testing","2025-01-13","2025-01-20"
"Frontend Rebrand & Features","solidarity-fund","#SF-005",3,"None","","Frontend rebrand with Web3 integration and state management","2025-01-02","2025-01-06"
"Refactor automation system","crowdstake.fun","https://github.com/BreadchainCoop/crowdstake.fun/issues/73",4,"Core Distribution System","","Generic provider payment management system","2025-01-20","2025-01-27"
"Release 0.0.2","crowdstake.fun","https://github.com/BreadchainCoop/crowdstake.fun/issues/72",2,"All Core Features","","Version 0.0.2 release preparation","2025-02-17","2025-02-19"
"Release 0.0.1","crowdstake.fun","https://github.com/BreadchainCoop/crowdstake.fun/issues/70",2,"Security Hardening","","Initial release preparation","2025-01-27","2025-01-29"
"E2E Testing","crowdstake.fun","https://github.com/BreadchainCoop/crowdstake.fun/issues/65",4,"Frontend Rebrand","","End-to-end testing with decentralized frontend","2025-01-27","2025-02-03"
"Fuzz Testing","crowdstake.fun","https://github.com/BreadchainCoop/crowdstake.fun/issues/64",3,"Security Hardening","","Add fuzz testing to BreadKit Protocol","2025-01-20","2025-01-24"
"Refactor Unit Tests","crowdstake.fun","https://github.com/BreadchainCoop/crowdstake.fun/issues/63",2,"Core Distribution System","","Convert to Bulloak format and review","2025-01-17","2025-01-20"
"Voting functions enhancement","crowdstake.fun","https://github.com/BreadchainCoop/crowdstake.fun/issues/62",3,"Voting Module","","Add bytes parameter for downstream implementations","2025-01-17","2025-01-22"
"TimeWeightedVotingPower","crowdstake.fun","https://github.com/BreadchainCoop/crowdstake.fun/issues/48",4,"Voting Module","","Implement time-weighted voting power strategy","2025-01-17","2025-01-24"
"Identifier emission","crowdstake.fun","https://github.com/BreadchainCoop/crowdstake.fun/issues/47",2,"Core Distribution System","","Add identifier to DistributionStrategy","2025-01-20","2025-01-22"
"Gelato Automation","crowdstake.fun","https://github.com/BreadchainCoop/crowdstake.fun/issues/46",3,"Refactor automation system","","Review and implement Gelato integration","2025-01-27","2025-01-31"
"Optimize Queue Lookup","crowdstake.fun","https://github.com/BreadchainCoop/crowdstake.fun/issues/45",4,"Core Distribution System","","Performance optimization for large queues","2025-02-03","2025-02-10"
"Chainlink Automation","crowdstake.fun","https://github.com/BreadchainCoop/crowdstake.fun/issues/44",3,"Refactor automation system","","Support automation payment from yield","2025-01-27","2025-01-31"
"Store required votes","crowdstake.fun","https://github.com/BreadchainCoop/crowdstake.fun/issues/43",2,"Voting Module","","Cache votes at proposal creation","2025-01-22","2025-01-24"
"Refactor QueueProcessed","crowdstake.fun","https://github.com/BreadchainCoop/crowdstake.fun/issues/42",1,"Core Distribution System","","Event refactoring for Recipient Registry","2025-01-24","2025-01-24"
"Validate yield amount","crowdstake.fun","https://github.com/BreadchainCoop/crowdstake.fun/issues/38",2,"Security Hardening","","Validate against recipients and divisibility","2025-01-22","2025-01-24"
"Factory Pattern refactor","crowdstake.fun","https://github.com/BreadchainCoop/crowdstake.fun/issues/36",5,"Core Distribution System","","Refactor modules to Factory Pattern","2025-02-03","2025-02-14"
"NFT awarding module","crowdstake.fun","https://github.com/BreadchainCoop/crowdstake.fun/issues/24",3,"Factory Pattern refactor","","Generic NFT module for token holders","2025-02-14","2025-02-19"
"Distribution Module","crowdstake.fun","https://github.com/BreadchainCoop/crowdstake.fun/issues/10",4,"Core Distribution System","","Core distribution module implementation","2025-01-13","2025-01-20"
"Distribution Strategy","crowdstake.fun","https://github.com/BreadchainCoop/crowdstake.fun/issues/9",4,"Distribution Module","","Strategy module implementation","2025-01-20","2025-01-27"
"Voting Module","crowdstake.fun","https://github.com/BreadchainCoop/crowdstake.fun/issues/2",5,"Voting Module Implementation","","Signature-based voting with multiple strategies","2025-01-13","2025-01-24"
"Rename repository","breadchain","https://github.com/BreadchainCoop/breadchain/issues/173",1,"None","","Repository naming update","2025-01-02","2025-01-02"
"Test Upgrade Simulation","breadchain","https://github.com/BreadchainCoop/breadchain/issues/172",3,"CI/CD Infrastructure","","Upgrade simulation testing for latest release","2025-01-31","2025-02-04"
"Release v1.0.5","breadchain","https://github.com/BreadchainCoop/breadchain/issues/171",2,"Test Upgrade Simulation","","Version 1.0.5 release preparation","2025-02-24","2025-02-26"
"Voting Boost - Transactions","breadchain","https://github.com/BreadchainCoop/breadchain/issues/170",3,"TimeWeightedVotingPower","","Boost for users with BREAD transactions","2025-01-31","2025-02-04"
"Boost - Never Burning","breadchain","https://github.com/BreadchainCoop/breadchain/issues/169",2,"TimeWeightedVotingPower","","Reward for not burning BREAD","2025-01-31","2025-02-03"
"Boost - Baking Minimum","breadchain","https://github.com/BreadchainCoop/breadchain/issues/168",2,"TimeWeightedVotingPower","","Boost for baking at least 10 BREAD","2025-01-31","2025-02-03"
"POAP Boost","breadchain","https://github.com/BreadchainCoop/breadchain/issues/167",3,"TimeWeightedVotingPower","","Add boost for community call attendance","2025-02-03","2025-02-07"
"TBS NFT Boost","breadchain","https://github.com/BreadchainCoop/breadchain/issues/166",2,"TimeWeightedVotingPower","","Voting boost for NFT holders","2025-02-03","2025-02-05"
"Release v1.0.4","breadchain","https://github.com/BreadchainCoop/breadchain/issues/164",2,"All Boost Features","","Version 1.0.4 release preparation","2025-02-10","2025-02-12"
"Variable Delegations","breadchain","https://github.com/BreadchainCoop/breadchain/issues/156",4,"Voting Module","","Explore VotesExtendedUpgradeable extensions","2025-02-10","2025-02-17"
"CI/CD Auto-deploy","breadchain","https://github.com/BreadchainCoop/breadchain/issues/142",3,"CI/CD Infrastructure","","Automated testnet deployments on merge","2025-01-06","2025-01-10"
"Upgrade Safety Check","breadchain","https://github.com/BreadchainCoop/breadchain/issues/141",3,"CI/CD Infrastructure","","Automate upgrade safety in CI pipeline","2025-01-06","2025-01-10"
"Gelato Automation (breadchain)","breadchain","https://github.com/BreadchainCoop/breadchain/issues/136",3,"Gelato Automation","","Gelato automation integration for breadchain","2025-01-31","2025-02-04"
"Timelock for upgrades","breadchain","https://github.com/BreadchainCoop/breadchain/issues/132",4,"Security Hardening","","Add timelock mechanism for contract upgrades","2025-01-24","2025-01-31"
"Update Foundry Template","breadchain","https://github.com/BreadchainCoop/breadchain/issues/122",2,"CI/CD Infrastructure","","Modernize Foundry template structure","2025-01-10","2025-01-13"
"Namespaced storage","breadchain","https://github.com/BreadchainCoop/breadchain/issues/112",5,"Core Distribution System","","Refactor to ERC-7201 storage patterns","2025-02-10","2025-02-21"
"Documentation Scope","breadchain","https://github.com/BreadchainCoop/breadchain/issues/111",3,"All Core Features","","Complete documentation overhaul","2025-02-21","2025-02-26"
"Testing refactor","breadchain","https://github.com/BreadchainCoop/breadchain/issues/97",4,"Refactor Unit Tests","","Refactor test suite structure","2025-01-24","2025-01-31"
"Coupling addresses","breadchain","https://github.com/BreadchainCoop/breadchain/issues/81",3,"Core Distribution System","","Link project addresses and distributions","2025-01-27","2025-01-31"
"Missing Distribution Manager","solidarity-fund","#SF-006",5,"Core Distribution System","","Only interfaces exist no actual implementation of yield distribution","2025-01-13","2025-01-24"
"Incomplete Voting System","solidarity-fund","#SF-007",5,"Voting Module","","DefaultYieldClaimer.sol contains only TODO comments","2025-01-13","2025-01-24"
"No Vote Aggregation","solidarity-fund","#SF-008",4,"Voting Module","","Missing tallying and execution mechanisms","2025-01-17","2025-01-24"
"Broken Automation Architecture","solidarity-fund","#SF-009",4,"Refactor automation system","","Delegates to non-existent distribution manager","2025-01-27","2025-02-03"
"Mixed Solidity Versions","solidarity-fund","#SF-010",2,"Security Hardening","","Inconsistent pragma versions create compatibility risks","2025-01-20","2025-01-22"
"Missing Reentrancy Guards","solidarity-fund","#SF-011",3,"Security Hardening","","YieldDistributor lacks critical protection","2025-01-20","2025-01-24"
"No Emergency Pause","solidarity-fund","#SF-012",3,"Security Hardening","","Missing circuit breakers for critical operations","2025-01-20","2025-01-24"
"Insufficient Validation","solidarity-fund","#SF-013",2,"Security Hardening","","Need comprehensive input validation","2025-01-20","2025-01-22"
"Low Test Coverage","solidarity-fund","#SF-014",4,"Refactor Unit Tests","","Only 59 tests for complex governance system","2025-01-24","2025-01-31"
"No Security Scanning","solidarity-fund","#SF-015",3,"CI/CD Infrastructure","","Slither/Mythril not integrated in CI/CD","2025-01-10","2025-01-14"
"Missing Fuzz Testing","solidarity-fund","#SF-016",3,"Fuzz Testing","","Property-based testing incomplete","2025-01-24","2025-01-28"
"No Gas Benchmarking","solidarity-fund","#SF-017",2,"CI/CD Infrastructure","","Performance optimization unmeasured","2025-01-14","2025-01-16"
"Wrong Package Name","solidarity-fund","#SF-018",1,"None","","Still using solidity-foundry-boilerplate","2025-01-02","2025-01-02"
